age,city_tier,device,membership,cuisine,weather,day_of_week,hour,is_weekend,distance_km,prior_orders_90d,avg_basket_90d,rating_avg,support_tickets_30d,promo_type,delivery_fee,eta_minutes,basket_value,discount_amount,order_total,net_margin_usd,complaint_within_48h,discount%,amount_prior_discount,delivery_fee%,avg_order_total_90d
21,T3,web,none,italian,hot,0,22,0,5.72,8,15.19,4.28,0,none,4.99,45.5,21.07,0.0,26.06,10.46,0,0.0,26.06,19.148119723714508,18.098599386032234
50,T2,android,none,italian,clear,2,1,0,2.55,12,14.59,4.33,0,percent10,2.74,28.7,20.74,2.07,21.41,8.15,1,9.66837926202709,23.48,12.797758056982719,15.046576366184025
45,T1,android,none,middle_eastern,clear,5,9,1,3.02,4,19.8,3.99,1,percent10,3.45,33.3,17.76,1.78,19.43,6.47,0,9.161091096242924,21.21,17.7560473494596,21.5018013381369
36,T2,android,plus,american,clear,2,8,0,3.69,2,24.48,4.55,2,none,3.37,35.5,23.6,0.0,26.97,9.97,0,0.0,26.97,12.495365220615499,27.538865406006675
36,T1,android,none,middle_eastern,clear,1,14,0,6.54,7,13.54,4.32,0,none,4.65,47.2,15.32,0.0,19.97,6.55,0,0.0,19.97,23.284927391086633,16.69277916875313
54,T2,ios,none,american,clear,6,16,1,3.84,6,8.28,4.21,0,none,3.82,35.9,13.0,0.0,16.82,5.8,0,0.0,16.82,22.711058263971463,10.160475624256836
21,T2,android,none,mexican,clear,1,1,0,13.72,4,11.73,4.61,0,none,6.29,73.8,11.23,0.0,17.52,1.07,0,0.0,17.52,35.901826484018265,15.941284246575343
47,T1,android,pro,american,hot,0,10,0,5.31,7,18.39,4.13,2,none,4.32,42.4,19.69,0.0,24.01,8.63,0,0.0,24.01,17.99250312369846,21.698821324448147
26,T1,ios,none,thai,clear,2,6,0,4.07,10,26.78,4.56,1,flat3,3.46,36.0,30.88,3.0,31.34,9.96,0,9.572431397574984,34.34,11.040204211869815,27.173069559668157
21,T2,android,none,american,hot,0,23,0,6.8,5,12.8,4.05,1,none,4.82,44.9,18.83,0.0,23.65,6.31,1,0.0,23.65,20.38054968287527,15.408710359408035
40,T1,android,none,italian,cold,4,7,0,16.34,10,22.04,3.85,1,none,8.34,85.2,35.61,0.0,43.95,11.41,0,0.0,43.95,18.976109215017065,26.22233447098976
58,T3,ios,none,chinese,clear,3,0,0,1.3,10,24.67,4.24,0,none,2.46,23.4,27.74,0.0,30.2,12.79,0,0.0,30.2,8.14569536423841,26.67954304635762
48,T2,web,plus,chinese,cold,6,14,1,2.64,6,15.44,3.53,0,percent10,3.16,27.5,19.78,1.98,20.96,6.9,0,9.446564885496182,22.94,15.076335877862595,16.309236641221375
49,T2,android,plus,italian,clear,1,20,0,3.22,6,28.22,4.37,1,flat3,3.52,34.6,32.86,3.0,33.38,9.58,0,8.987417615338526,36.38,10.54523666866387,28.65961653684841
