order_id,age,city_tier,device,membership,cuisine,weather,day_of_week,hour,is_weekend,distance_km,prior_orders_90d,avg_basket_90d,rating_avg,support_tickets_30d,promo_type,delivery_fee,eta_minutes,basket_value,discount_amount,order_total,net_margin_usd,complaint_within_48h
100000,21,T3,web,none,italian,hot,0,22,0,5.72,8,15.19,4.28,0,none,4.99,45.5,21.07,0.0,26.06,10.46,0
100001,50,T2,android,none,italian,clear,2,1,0,2.55,12,14.59,4.33,0,percent10,2.74,28.7,20.74,2.07,21.41,8.15,1
100002,45,T1,android,none,middle_eastern,clear,5,9,1,3.02,4,19.8,3.99,1,percent10,3.45,33.3,17.76,1.78,19.43,6.47,0
100003,36,T2,android,plus,american,clear,2,8,0,3.69,2,24.48,4.55,2,none,3.37,35.5,23.6,0.0,26.97,9.97,0
100004,36,T1,android,none,middle_eastern,clear,1,14,0,6.54,7,13.54,4.32,0,none,4.65,47.2,15.32,0.0,19.97,6.55,0
100005,54,T2,ios,none,american,clear,6,16,1,3.84,6,8.28,4.21,0,none,3.82,35.9,13.0,0.0,16.82,5.8,0
100006,21,T2,android,none,mexican,clear,1,1,0,13.72,4,11.73,4.61,0,none,6.29,73.8,11.23,0.0,17.52,1.07,0
100007,47,T1,android,pro,american,hot,0,10,0,5.31,7,18.39,4.13,2,none,4.32,42.4,19.69,0.0,24.01,8.63,0
100008,26,T1,ios,none,thai,clear,2,6,0,4.07,10,26.78,4.56,1,flat3,3.46,36.0,30.88,3.0,31.34,9.96,0
100009,21,T2,android,none,american,hot,0,23,0,6.8,5,12.8,4.05,1,none,4.82,44.9,18.83,0.0,23.65,6.31,1
100010,40,T1,android,none,italian,cold,4,7,0,16.34,10,22.04,3.85,1,none,8.34,85.2,35.61,0.0,43.95,11.41,0
100011,58,T3,ios,none,chinese,clear,3,0,0,1.3,10,24.67,4.24,0,none,2.46,23.4,27.74,0.0,30.2,12.79,0
100012,48,T2,web,plus,chinese,cold,6,14,1,2.64,6,15.44,3.53,0,percent10,3.16,27.5,19.78,1.98,20.96,6.9,0
100013,49,T2,android,plus,italian,clear,1,20,0,3.22,6,28.22,4.37,1,flat3,3.52,34.6,32.86,3.0,33.38,9.58,0
100014,48,T1,web,none,middle_eastern,rain,1,19,0,1.67,2,22.52,4.61,2,none,4.06,28.3,29.18,0.0,33.24,11.34,0
100015,51,T2,web,plus,middle_eastern,cold,4,3,0,4.12,7,14.25,5.0,0,none,3.47,36.6,11.71,0.0,15.18,5.33,0
100016,39,T3,ios,none,chinese,hot,4,17,0,7.2,10,15.5,4.61,1,none,4.78,44.3,22.0,0.0,26.78,7.52,1
100017,23,T1,android,plus,mexican,clear,2,4,0,4.88,8,16.5,4.88,0,none,4.08,36.8,21.24,0.0,25.32,11.67,0
100018,53,T1,ios,none,middle_eastern,clear,6,3,1,6.14,9,17.5,4.35,0,none,4.8,50.9,21.89,0.0,26.69,9.44,0
100019,36,T1,web,none,american,clear,5,12,1,2.53,9,21.43,4.74,0,flat3,3.64,31.3,25.43,3.0,26.07,8.56,0
100020,39,T1,android,plus,thai,cold,4,19,0,6.18,6,17.33,4.32,0,flat3,4.52,39.1,23.65,3.0,25.17,8.03,1
100021,33,T2,web,pro,thai,clear,5,20,1,4.77,5,22.25,4.75,0,percent10,4.88,41.0,32.07,3.21,33.74,10.47,0
100022,25,T2,web,plus,italian,clear,3,14,0,1.85,6,21.1,3.49,0,none,2.96,23.9,30.02,0.0,32.98,15.95,0
100023,56,T2,android,plus,middle_eastern,clear,3,9,0,4.27,13,13.66,3.86,0,percent10,3.76,36.6,15.84,1.58,18.02,6.79,1
100024,50,T1,ios,plus,indian,clear,3,14,0,2.77,10,23.48,4.12,0,none,3.13,24.9,32.08,0.0,35.21,14.33,0
100025,45,T1,android,plus,middle_eastern,clear,5,7,1,21.29,4,27.69,4.56,0,none,9.55,90.0,29.05,0.0,38.6,11.85,1
100026,34,T1,ios,none,middle_eastern,clear,0,3,0,7.5,5,17.61,4.5,0,none,5.14,56.6,19.54,0.0,24.68,8.06,1
100027,52,T3,web,none,chinese,rain,0,9,0,4.59,9,22.26,3.92,0,none,4.33,43.9,25.11,0.0,29.44,9.37,0
100028,40,T2,android,plus,mexican,clear,3,4,0,9.4,4,13.91,3.75,0,flat3,5.62,56.6,16.68,3.0,19.3,3.23,0
100029,36,T1,android,none,middle_eastern,clear,4,2,0,6.28,7,28.29,4.2,0,none,4.69,46.7,36.01,0.0,40.7,16.25,0
100030,36,T2,android,plus,mexican,clear,1,17,0,1.87,8,23.69,4.09,0,none,2.67,23.6,27.75,0.0,30.42,11.82,0
100031,27,T1,web,none,italian,clear,4,20,0,11.19,4,23.28,4.11,2,none,6.61,72.9,23.49,0.0,30.1,9.44,0
100032,21,T1,android,none,indian,hot,0,17,0,1.59,8,15.09,4.15,0,flat3,3.2,25.8,21.42,3.0,21.62,7.31,0
100033,41,T1,web,none,mexican,clear,1,21,0,10.33,9,23.3,4.17,0,none,6.32,63.7,38.38,0.0,44.7,14.81,1
100034,55,T3,android,plus,chinese,clear,3,11,0,4.85,2,22.55,4.59,0,none,3.42,32.1,26.62,0.0,30.04,12.63,0
100035,20,T2,android,none,american,clear,0,16,0,4.11,3,22.32,4.56,0,none,3.45,37.8,28.89,0.0,32.34,12.99,0
100036,54,T2,web,plus,middle_eastern,clear,4,4,0,2.49,9,27.87,4.1,0,none,3.22,29.4,34.82,0.0,38.04,15.74,0
100037,52,T1,ios,none,italian,hot,3,10,0,5.02,9,16.15,4.11,0,flat3,4.03,42.4,25.0,3.0,26.03,7.64,0
100038,29,T1,android,none,chinese,hot,3,2,0,6.04,8,26.87,4.53,0,percent10,4.15,36.7,25.47,2.55,27.07,6.35,0
100039,44,T2,android,plus,italian,clear,3,14,0,5.72,7,24.66,4.35,0,percent10,4.11,43.0,25.33,2.53,26.91,8.4,0
